,latitude,longitude,frp
768,-37.68513,148.72821,3.0
769,-37.68494,148.68549,9.4
770,-37.68488,148.08939,2.7
771,-37.68486,149.09778,4.0
772,-37.68483,148.66614,9.2
773,-37.6845,148.67119,11.2
774,-37.68429,148.54442,2.8
775,-37.68417,149.09622,3.0
776,-37.68404,149.09233,5.5
777,-37.68394,148.73021,46.8
778,-37.68389,149.09708,3.3
779,-37.68388,148.73523,1.7
780,-37.6837,148.09178,4.1
781,-37.6836,148.67212,9.2
782,-37.68341,148.72878,4.7
783,-37.6831,149.00029,1.4
784,-37.68307,148.65791,25.8
785,-37.68272,148.73616,46.8
786,-37.68255,148.99814,6.2
787,-37.68223,148.65892,22.2
788,-37.68209,148.68327,5.3
789,-37.68187,148.66394,25.8
790,-37.68165,148.54305,8.4
791,-37.68155,148.99976,1.8
792,-37.68144,148.68193,1.7
793,-37.68137,148.72282,12.4
794,-37.681,148.66492,12.4
795,-37.68092,148.62897,3.2
796,-37.68077,148.73512,3.0
797,-37.68068,148.66994,11.2
798,-37.68043,148.62242,12.2
799,-37.68039,148.66881,1.6
800,-37.68026,148.72861,3.0
801,-37.68015,149.09099,5.5
802,-37.68006,148.6171,2.9
803,-37.68,148.68236,1.1
804,-37.67997,148.61626,12.2
805,-37.67977,148.67088,12.4
806,-37.67973,148.72192,3.6
807,-37.6795,148.60994,4.7
808,-37.67929,148.55482,4.3
809,-37.67925,148.65663,11.3
810,-37.67908,148.61969,1.7
811,-37.67902,148.73572,1.7
812,-37.67901,148.60336,4.7
813,-37.67892,149.09746,3.3
814,-37.67889,148.73489,46.8
815,-37.67884,148.61801,9.3
816,-37.67875,148.72946,2.2
817,-37.67854,148.7292,4.7
818,-37.67842,148.65762,22.2
819,-37.67819,148.61908,10.1
